SKU;Tipo;Descripción;Unidad de Medida (Um);Ancho;Alto;Profundo;Stock Actual;Precio Directo;Precio Público;Imagen (URL);Modelo 3D (.glb / .obj);URL de Referencia / Ficha;PROVEEDOR
;Servicio;Mano de obra fabricación es instalación de modulos;servicio;;;;;320000;368000;;;;
;Modulos prefabricados;Repisa entamborada;metro lineal;100 * 22 * 3;;;;120000;138000;;;;
;Herrajes / Accesorios;luz led;metro lineal;;;;;70000;80500;;;;
;Modulos prefabricados;Torre de mercados;unidad;60 - 180 - 60 cm;;;;620000;713000;;;;
;Modulos prefabricados;Puerta de paso;unidad;70 cm * 240 cm;;;;900000;1035000;;;;
;Herrajes / Accesorios;chapa puerta de paso;unidad;;;;;75000;86250;;;;
;Herrajes / Accesorios;Corredera cajón cierre suave aluminio;juegos;-;;;;135000;155250;https://prod-files-secure.s3.us-west-2.amazonaws.com/11c6e36e-49ae-43ee-8860-d92881ee129b/1070fcdf-2d83-4ae8-a57e-f9def0227852/Captura_de_pantalla_2025-07-23_073017.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=ASIAZI2LB466VU5TKPK2%2F20260421%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20260421T231714Z&X-Amz-Expires=3600&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHQaCXVzLXdlc3QtMiJGMEQCICUiSUvF8A0B1380aZvqhRjDropVauwllYkPxxDN4InKAiAs%2FzHpB%2B66yuFBVge46CKwqKZfg5XLboa3sxsbPBmkBCr%2FAwg9EAAaDDYzNzQyMzE4MzgwNSIML1l02XLF0N2ZpLvgKtwDcI0cDH4hUGuSU%2F0D90yu6WIZGpmArKKEfwDKuBKXeRRDYaZutJW%2BWNFXLE1Qu5ISDgBxcov%2BJvLnJU6gD30Krr99Anrh0v7nmoF22Y7kfJiAIJoQQpu%2BGL%2FM0db6JCK41VwVPUtAjPNnLYp6YTo82gm9pv2oTV%2BDZ5eI0KTNnG7ybvNZ60tcfVcKnDTlvkLzRQkg5veSqHFaZQH2hvO62gXGsXPfSWXcrc1yovUmQjlVNShkriZKNHM7sYmnxYmYuEkH7MnQ0WYsZpGIRn%2B1s1WBEohvPjsxf1fPQRFkbrim3Mb8fqAmrI2BPUrtz%2BVKSQv19Z88Zli5y%2Flo6Zgwrz2m9pivnawMNBbhrEol4oHAPkysLhstujLre0FttsfBz%2Bi9MSyLRX4EUAJIbMbZjK0wwyKVGLSlF8KP7LAMwTrzrmWP4fzPZBC439jxgCa64FSej7bEwuLMVDzhDHAou0xmoZVhrQzA31Cf25U1xoLe%2FycfPqZ8DnLcozkbm4jZcU%2FmBhwAef%2FSbjvn7az26E%2BSgojTyCeRFTHKLV%2BecZUQkKDR4Nxp%2BbCoh1%2B4Ak9TWDRqz%2FxWlRjcpwxbiZZVCYAaetygeB%2F%2BFY1piRQt1TBkj5W6CUWEdFHBOqww3bSfzwY6pgGzyruxcjD0%2BJ0dMkE7jGQZ%2Fb2pjEHD7HWEDVZ4JeYNt8phWdN1p7%2FiXtFyCm%2FbGDTgHoQGnfwBRe5m8yV2EOTrkYcKz8DvKnRTvIW4ODh8h0wLHWJq%2FojTwWnb6BU5JRH0SXN%2BMo%2Bb0pZyWSYXsYtbem4Cfb7cMK7uXrzOsm3KVRTP3gJykDaSK5owT8fQbghwpRkSNH3nP83w8NYyeBRRbxNxkny8&X-Amz-Signature=d45c962a68134f68465a29657db4c057d1c8f19bde754db5deb66302d6cdb191&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject;;;
;Herrajes / Accesorios;carro botellero 35cm;unidad;35 cm;;;;550000;632500;;;;
;Herrajes / Accesorios;Bisagras puerta batiente;juegos;-;;;;10000;11500;;;;
;Herrajes / Accesorios;Corredera Cajón cierre suave oculto;juegos;-;;;;63000;72450;;;;
;Electrodomesticos / Gasodomesticos;Estufa 5 puestos;cm;70 * 45;;;;1700000;1955000;;;;
;Tableros / Maderas;Altobrillo;tablero;244 x 122 cm;;;;770000;885500;;;;
;Piedras / Mesones;Sinterizado Neolight;metro lineal;100 * 60 cm;;;;2900000;3335000;;;;
;Herrajes / Accesorios;Platillero organizador de loza;unidad;-;;;;50000;57500;;;;
;Piedras / Mesones;Mesón en granito;metro lineal;60;;;;590000;678500;;;;
;Herrajes / Accesorios;Tubo Colgador;unidad;;;;;50000;57500;;;;
;Servicio;instalacion de campana extractora estandar;servicio;;;;;60000;69000;;;;
;Servicio;Desinstalación y disposición de cocina;servicio;;;;;560000;644000;;;;
;;Soporte escobas;unidad;;;;;45000;51750;;;;
;Tableros / Maderas;Lamina gris perlado Brillante;tablero;;;;;950000;1092500;;;;
;Piedras / Mesones;Poceta lavadero en quarztone;unidad;;;;;350000;402500;;;;
;Tableros / Maderas;Fachada altobrillo perlado;tablero;;;;;1180000;1357000;;;;
;Herrajes / Accesorios;Cajones de lateral de vidrio;juego;;;;;220000;253000;;;;
;Herrajes / Accesorios;Bisagra clip Blum;juego;;;;;36000;41400;;;;
;Herrajes / Accesorios;Brazo neumático;unidad;;;;;12000;13800;;;;
;Piedras / Mesones;Salpicadero de muro Piedra Sinterizada;metro lineal;;;;;950000;1092500;;;;
;227b5567-ba71-80ae-a328-c14f71af6ffb;Sensor de movimiento Interruptor;unidad;;;;;60000;69000;;;;
;Modulos prefabricados;Plafón / panel decorativo de barra en melamina 5.5mm | 18 mm.;metro lineal;;;;;350000;402500;;;;
;Piedras / Mesones;Lavaplatos en piedra sinterizada;unidad;;;;;950000;1092500;;;;
;227b5567-ba71-8056-8e1b-d9c6778eae86;Puerta de vidrio bronce;metro lineal;;;;;200000;230000;;;;
;;Sistema de iluminación barra y panel;;;;;;;0;;;;
;;Sistema de iluminación interna;metro lineal;;;;;120000;138000;;;;
;Piedras / Mesones;Lavadero en piedra sinterizada;unidad;;;;;560000;644000;;;;
;Piedras / Mesones;Lavadero en piedra sinterizada;metro lineal;;;;;;0;;;;
;Modulos prefabricados;Módulos zona de lavanderia con escobero en melamina RH 18mm doble cara.;metro lineal;;;;;660000;759000;;;;
;Tableros / Maderas;Fachadas Blanco Altobrillo melamina;tablero;;;;;790000;908500;;;;
;Herrajes / Accesorios;Grifería Estandar;unidad;;;;;150000;172500;;;;
;Tableros / Maderas;Tablero melamínico 18mm RH;tablero;;;;;450000;517500;;;;
;Tableros / Maderas;Tablero melamínico 6mm;tablero;;;;;230000;264500;;;;
;227b5567-ba71-80ae-a328-c14f71af6ffb;Sistema de iluminación LED;metro lineal;;;;;95000;109250;;;;
;;Costo operativo interdepartamental;;;;;;;0;;;;
;Servicio;Costo operativo interdepartamental;servicio;;;;;160000;184000;;;;
;Piedras / Mesones;Mesón en madera natural;metro lineal;;;;;650000;747500;;;;
;Herrajes / Accesorios;Otros Complementos Generales;unidad;;;;;60000;69000;;;;
;Servicio;Enchape salpicadero en porcelanato;servicio;;;;;140000;161000;;;;
;Modulos prefabricados;Mueble de lavadero (blanco mate);unidad;60;;30;;220000;253000;;;;
;Herrajes / Accesorios;Tomacorriente estandar;unidad;;;;;12000;13800;;;;
;;Toma corriente USB;unidad;;;;;80000;92000;;;;
;;Griferia para lavadero;unidad;;;;;75000;86250;;;;
;;Lavadero estándar;unidad;;;;;130000;149500;;;;
;Herrajes / Accesorios;Riel para puerta corrediza;unidad;;;;;150000;172500;;;;
;Tableros / Maderas;Tablero 15 mm STND + Enchape de cantos rigidos 2mm;tablero;;;;;321000;369150;;;;
;Servicio;Pintura de muro;servicio;;;;;100000;115000;;;;
;Tableros / Maderas;Tablero melamínico 18 mm RH + Enchape de cantos rigidos 2mm;tablero;;;;;440000;506000;;;;
;;Brazo mesa plegable;unidad;;;;;120000;138000;;;;
;Piedras / Mesones;Mesón en Quarztone;metro lineal;;;;;600000;690000;;;;
;;Locero extraíble;unidad;;;;;750000;862500;;;;
;Tableros / Maderas;Entrepaños de vidrio;metro lineal;;;;;40000;46000;;;;
;Piedras / Mesones;Mesón en acero a gas;unidad;;;;;960000;1104000;;;;
;Piedras / Mesones;Piedra sinterizada | Mesón ALTEA;metro lineal;;;;;750000;862500;;;;Dalver Fonseca
;Piedras / Mesones;Piedra sinterizada | Salpicadero;metro lineal;;;;;750000;862500;;;;Dalver Fonseca
;Tableros / Maderas;Tablero Blanco Alto brillo rh hm;tablero;;;;;450000;517500;;;;1c7b5567-ba71-80c4-a308-f5d34384d89e
;;Lavaplatos sencillo;unidad;;;;;90000;103500;;;;
;;Ojo de buey;unidad;;;;;15000;17250;;;;
;Servicio;Mano de obra civil;servicio;;;;;360000;414000;;;;1c9b5567-ba71-809f-a999-ffcf96cf4957
;;Cajón full extención trafico pesado;juego;;;;;20000;23000;;;;
;Piedras / Mesones;Quarztone | mesones;metro lineal;;;;;600000;690000;;;;Dalver Fonseca
;Piedras / Mesones;Granito Haspel | mesones;metro lineal;;;;;380000;437000;;;;Dalver Fonseca
;Tableros / Maderas;Tablero 36mm melamina Duratex;tablero;244;;36;;590000;678500;;;;1ccb5567-ba71-808f-b88f-dcc9a4853990
;Tableros / Maderas;Puerta de paso;unidad;;;;;850000;977500;;;;1c9b5567-ba71-809f-a999-ffcf96cf4957
;Servicio;Desarrollo de modulo inferior de cocina;metro lineal;;;;;130000;149500;;;;1a3b5567-ba71-8030-842c-eccbea80301c
;Servicio;Desarrollo de modulo cajón;unidad;;;;;60000;69000;;;;1a3b5567-ba71-8030-842c-eccbea80301c
;Servicio;Desarrollo de módulo superior;metro lineal;;;;;100000;115000;;;;1a3b5567-ba71-8030-842c-eccbea80301c
;Herrajes / Accesorios;Espejo con luz;unidad;;;;;250000;287500;;;;
;;Estimado Tina;;;;;;2300000;2645000;;;;
;Tableros / Maderas;Tablero antihuella QH 18mm;;;;;;1350000;1552500;;;;
;;Estructura de tubo metalico;;;;;;150000;172500;;;;
;;Alacena piso techo;unidad;;;;;2400000;2760000;https://prod-files-secure.s3.us-west-2.amazonaws.com/11c6e36e-49ae-43ee-8860-d92881ee129b/0780470d-f4d5-4282-8c0e-c78ef582f0b1/Captura_de_pantalla_2025-04-23_122631.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=ASIAZI2LB4666AYSUGZL%2F20260421%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20260421T231716Z&X-Amz-Expires=3600&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHQaCXVzLXdlc3QtMiJHMEUCIDgIAZ8LHiuo8yTpqjskG0IEf4xZJ34zpzqX7fzgxoNYAiEAnqfIY8%2Ba9i2UlDZrVqffcRvKQwejqkYKZYJFNasS6Bwq%2FwMIPRAAGgw2Mzc0MjMxODM4MDUiDKeYebL1hp4yV7SjPyrcA%2FmH%2BnE7vTn5Q3A4klgeXnFjCOK5NM7UmEVS6synsF8qbgww9NxQTseZ1NVFd3r9lq0aLSWyU3e%2BoZAfmJmbjIBDRWZUtGPn7KmmN6RCsKhx5jWE7rTYhNvKt1Q7XRFwACum59rHULE3HaMsPkrZx6dXnFmFLH%2B5K9j8GfKo%2B1f9NSTUEZvC9bcfMxDu%2BY%2FlEHS3xoBtZ77rXgsIfAzUdeSNooAzydgjVOSWUiCs5lxocsmvTvly6oOIePV4VN3gshI3Os%2B3DgilQps2FOg%2FCiIPieYOdnAX%2Fb1Y0utBT1DrgkHi6qoyCJ3OWtwbHLBcVvRDF6bYKHyLNMM3AEilbxV4ZsgeNAY4s8FP%2BnecjU8zr9IAvnIw%2BOtrR3Tw8dRonqpo7UH%2FLmJgStlt1kCxvXXgHZhcvvV99o%2F9TdglfFslZWPdA4iVqSKwpILt6lrnUUBfeMzWAqvfYqma1l9ePbi4gb8vd%2BcJRP0%2Bvq0pFtR3AF40VoTi6hx4bwdsA%2BT%2BnaBDzQ8ZHR2h%2BKi48K84HW6Nba%2BwtH0r4vDEXI0jYNh4HXQsH297%2B5RwhbqrgYsD6GasMQIrMEKqE2f8WDzbWtwHWku01dBEyM3aliEr1ZDEiiL7OrCddKXtBB8FMMOzn88GOqUBjm%2B06fzMGhKSDOGYzHH2MvUUv4KVBuGTqirWZlEATf9516LcB86zjxa0u913WxdzS0P%2F62T3Eh9Db6XZzYFGc%2Be12nPVDYyLPXgNVudbzpBSRAgy5QjmV5tCTGHpW3wxkYT8hXtZ1DL4KAYtWImvhEngp4OI%2FrJnCiDWiiFPMYrZbJnQGVns8CRIO%2BKMWkbL2mNtRYdY0oGSFllGEhV0LfMSQLWj&X-Amz-Signature=d45218fb22ec6baa66a50b474a815c8f76a4131bcdcf50743572a7c79b27f928&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject;;;
;;Lavaplatos doble acero;unidad;;;;;750000;862500;;;;
;Herrajes / Accesorios;Brazo puerta doble DTC;juegos;;;;;450000;517500;https://prod-files-secure.s3.us-west-2.amazonaws.com/11c6e36e-49ae-43ee-8860-d92881ee129b/1d9767c6-153d-4796-840e-6b85028b5005/Captura_de_pantalla_2025-07-23_065934.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=ASIAZI2LB4666AYSUGZL%2F20260421%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20260421T231716Z&X-Amz-Expires=3600&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHQaCXVzLXdlc3QtMiJHMEUCIDgIAZ8LHiuo8yTpqjskG0IEf4xZJ34zpzqX7fzgxoNYAiEAnqfIY8%2Ba9i2UlDZrVqffcRvKQwejqkYKZYJFNasS6Bwq%2FwMIPRAAGgw2Mzc0MjMxODM4MDUiDKeYebL1hp4yV7SjPyrcA%2FmH%2BnE7vTn5Q3A4klgeXnFjCOK5NM7UmEVS6synsF8qbgww9NxQTseZ1NVFd3r9lq0aLSWyU3e%2BoZAfmJmbjIBDRWZUtGPn7KmmN6RCsKhx5jWE7rTYhNvKt1Q7XRFwACum59rHULE3HaMsPkrZx6dXnFmFLH%2B5K9j8GfKo%2B1f9NSTUEZvC9bcfMxDu%2BY%2FlEHS3xoBtZ77rXgsIfAzUdeSNooAzydgjVOSWUiCs5lxocsmvTvly6oOIePV4VN3gshI3Os%2B3DgilQps2FOg%2FCiIPieYOdnAX%2Fb1Y0utBT1DrgkHi6qoyCJ3OWtwbHLBcVvRDF6bYKHyLNMM3AEilbxV4ZsgeNAY4s8FP%2BnecjU8zr9IAvnIw%2BOtrR3Tw8dRonqpo7UH%2FLmJgStlt1kCxvXXgHZhcvvV99o%2F9TdglfFslZWPdA4iVqSKwpILt6lrnUUBfeMzWAqvfYqma1l9ePbi4gb8vd%2BcJRP0%2Bvq0pFtR3AF40VoTi6hx4bwdsA%2BT%2BnaBDzQ8ZHR2h%2BKi48K84HW6Nba%2BwtH0r4vDEXI0jYNh4HXQsH297%2B5RwhbqrgYsD6GasMQIrMEKqE2f8WDzbWtwHWku01dBEyM3aliEr1ZDEiiL7OrCddKXtBB8FMMOzn88GOqUBjm%2B06fzMGhKSDOGYzHH2MvUUv4KVBuGTqirWZlEATf9516LcB86zjxa0u913WxdzS0P%2F62T3Eh9Db6XZzYFGc%2Be12nPVDYyLPXgNVudbzpBSRAgy5QjmV5tCTGHpW3wxkYT8hXtZ1DL4KAYtWImvhEngp4OI%2FrJnCiDWiiFPMYrZbJnQGVns8CRIO%2BKMWkbL2mNtRYdY0oGSFllGEhV0LfMSQLWj&X-Amz-Signature=00c4fe7e1cce2dd78ebff32ce4895cc95e927b40946cd24ef26b4c561c49400f&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject;;;1deb5567-ba71-80e2-a19a-d08379130f5e
;Herrajes / Accesorios;Brazo neumático cierre suave;unidad;;;;;60000;69000;https://prod-files-secure.s3.us-west-2.amazonaws.com/11c6e36e-49ae-43ee-8860-d92881ee129b/1533b812-2ff9-4358-80d6-5f0bff2e98ba/Captura_de_pantalla_2025-06-27_123836.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=ASIAZI2LB4666AYSUGZL%2F20260421%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20260421T231716Z&X-Amz-Expires=3600&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHQaCXVzLXdlc3QtMiJHMEUCIDgIAZ8LHiuo8yTpqjskG0IEf4xZJ34zpzqX7fzgxoNYAiEAnqfIY8%2Ba9i2UlDZrVqffcRvKQwejqkYKZYJFNasS6Bwq%2FwMIPRAAGgw2Mzc0MjMxODM4MDUiDKeYebL1hp4yV7SjPyrcA%2FmH%2BnE7vTn5Q3A4klgeXnFjCOK5NM7UmEVS6synsF8qbgww9NxQTseZ1NVFd3r9lq0aLSWyU3e%2BoZAfmJmbjIBDRWZUtGPn7KmmN6RCsKhx5jWE7rTYhNvKt1Q7XRFwACum59rHULE3HaMsPkrZx6dXnFmFLH%2B5K9j8GfKo%2B1f9NSTUEZvC9bcfMxDu%2BY%2FlEHS3xoBtZ77rXgsIfAzUdeSNooAzydgjVOSWUiCs5lxocsmvTvly6oOIePV4VN3gshI3Os%2B3DgilQps2FOg%2FCiIPieYOdnAX%2Fb1Y0utBT1DrgkHi6qoyCJ3OWtwbHLBcVvRDF6bYKHyLNMM3AEilbxV4ZsgeNAY4s8FP%2BnecjU8zr9IAvnIw%2BOtrR3Tw8dRonqpo7UH%2FLmJgStlt1kCxvXXgHZhcvvV99o%2F9TdglfFslZWPdA4iVqSKwpILt6lrnUUBfeMzWAqvfYqma1l9ePbi4gb8vd%2BcJRP0%2Bvq0pFtR3AF40VoTi6hx4bwdsA%2BT%2BnaBDzQ8ZHR2h%2BKi48K84HW6Nba%2BwtH0r4vDEXI0jYNh4HXQsH297%2B5RwhbqrgYsD6GasMQIrMEKqE2f8WDzbWtwHWku01dBEyM3aliEr1ZDEiiL7OrCddKXtBB8FMMOzn88GOqUBjm%2B06fzMGhKSDOGYzHH2MvUUv4KVBuGTqirWZlEATf9516LcB86zjxa0u913WxdzS0P%2F62T3Eh9Db6XZzYFGc%2Be12nPVDYyLPXgNVudbzpBSRAgy5QjmV5tCTGHpW3wxkYT8hXtZ1DL4KAYtWImvhEngp4OI%2FrJnCiDWiiFPMYrZbJnQGVns8CRIO%2BKMWkbL2mNtRYdY0oGSFllGEhV0LfMSQLWj&X-Amz-Signature=91950d1afcb854e5019448b2a9babf5cc68fb335be291cb100f887db448e801c&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject;;;
;Piedras / Mesones;Mesón en piedra sinterizada;metro lineal;;;;;850000;977500;;;;Dalver Fonseca
;Herrajes / Accesorios;Espejo con luz en contorno;unidad;;;;;260000;299000;;;;1c9b5567-ba71-809f-a999-ffcf96cf4957
;Servicio;Reubicación de mueble;servicio;;;;;120000;138000;;;;1c9b5567-ba71-809f-a999-ffcf96cf4957
;;Espejo con luz en contorno;;;;;;;0;;;;
;Herrajes / Accesorios;División vidrio marco aluminio;unidad;;;;;1250000;1437500;;;;
;Tableros / Maderas;Lamina Formica 7f;unidad;;;;;320000;368000;;;;
;Servicio;Reubiación de interruptor;unidad;;;;;60000;69000;;;;
;Herrajes / Accesorios;Bisagra oculta;unidad;;;;;7000;8050;;;;
;Tableros / Maderas;Tablero MDF 18mm;tablero;;;;;280000;322000;;;;
;;Reajuste comercial;servicio;;;;;1;1.15;;;;
;Herrajes / Accesorios;Interruptor dimerizable;unidad;;;;;21000;24150;;;;
;Herrajes / Accesorios;Pasacables;unidad;;;;;3000;3450;;;;
;Herrajes / Accesorios;Patas melamina y forrito;unidad;;;;;8000;9200;;;;1c9b5567-ba71-809f-a999-ffcf96cf4957
;;Mueble adicional;;;;;;75000;86250;;;;
;Tableros / Maderas;Lamina HQ 18mm;tablero;;;;;1100000;1265000;;;;
;Herrajes / Accesorios;Kit rodamientos x und puerta corrediza;unidad;;;;;35000;40250;;;;
;Herrajes / Accesorios;Cazuelas puerta corrediza;unidad;;;;;9000;10350;;;;
;Herrajes / Accesorios;Piedras decorativas;Kg;;;;;40000;46000;;;;
;Tableros / Maderas;Liston de pino;metro lineal;;;;;25000;28750;;;;
;Tableros / Maderas;Tablero flor morado 15 mm;tablero;;;;;350000;402500;;;;
;Herrajes / Accesorios;Modulo de basuras de 3 compartimentos;unidad;;;;;420000;483000;;;;
;Herrajes / Accesorios;Organizadores de platos especiales;unidad;;;;;160000;184000;;;;
;Herrajes / Accesorios;Condimentero piso techo;unidad;;;;;654000;752100;;;;
;Piedras / Mesones;Mesón en marmol;metro lineal;;;;;650000;747500;;;;
;Herrajes / Accesorios;Herraje mesa plegable;unidad;;;;;260000;299000;;;;
;227b5567-ba71-8056-8e1b-d9c6778eae86;Espejo 3mm;metro lineal;;;;;120000;138000;;;;
;Herrajes / Accesorios;Kit para puerta de vidrio;unidad;;;;;21000;24150;;;;
;Herrajes / Accesorios;Adaptador para sistema led;unidad;;;;;40000;46000;;;;
;Herrajes / Accesorios;Rueda N-06cm;unidad;;;;;12000;13800;;;;
;Herrajes / Accesorios;Electricos generales;unidad;;;;;20000;23000;;;;
;Herrajes / Accesorios;Varilla aluminio;metro lineal;;;;;10000;11500;;;;
;Herrajes / Accesorios;Cubiertero 50 x 40;;;;;;60000;69000;;;;
;Herrajes / Accesorios;Cubiertero 60 x 40;;;;;;70000;80500;;;;
;Herrajes / Accesorios;Ganchos extraibles closet;;;;;;40000;46000;;;https://www.temu.com/co/1pc-perchero-de-pared-de-madera-con-estante-de--telescopico-1pc-perchero-de-pared-de-madera-con-ganchos-de-acero-inoxidable-estante-de--telescopico-extraible-acabado-sin-pulir--organizador-de-ropa-interior-y-chalecos-que---g-601099851379056.html?_oak_mp_inf=EPDi9rin1ogBGhZnb29kc182aG5mc3lfcmVjb21tZW5kIKi7gPLzMg%3D%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Fopen%2F2024-09-10%2F1725958831884-082e57d8784e4363a49481d5b080f96e-goods.jpeg%3FimageView2%2F2%2Fw%2F800%2Fq%2F70%2Fformat%2Fwebp&spec_gallery_id=3214795030&refer_page_sn=10032&refer_source=10016&freesia_scene=11&_oak_freesia_scene=11&_oak_rec_ext_1=MzQyMTUwMA&_oak_gallery_order=510847923%2C665851786%2C875761875%2C1159499941%2C526979559&refer_page_el_sn=200444&_x_sessn_id=gobggxweee&refer_page_name=goods&refer_page_id=10032_1749096075303_9g8rr815eb;
